Wet,Fatal collisions,"Overcast, cloudy but no precipitation",100 km per hour,0,4
Wet,Fatal collisions,Raining,Less than 40 km per hour,1,1
Wet,Fatal collisions,Raining,40 km per hour,0,2
Wet,Fatal collisions,Raining,50 km per hour,8,26
Wet,Fatal collisions,Raining,60 km per hour,11,11
Wet,Fatal collisions,Raining,80 km per hour,11,21
Wet,Fatal collisions,Raining,100 km per hour,10,11
Wet,Fatal collisions,"Snowing, not including drifting snow",Less than 40 km per hour,0,0
Wet,Fatal collisions,"Snowing, not including drifting snow",40 km per hour,0,0
Wet,Fatal collisions,"Snowing, not including drifting snow",50 km per hour,0,2
Wet,Fatal collisions,"Snowing, not including drifting snow",60 km per hour,0,1
Wet,Fatal collisions,"Snowing, not including drifting snow",80 km per hour,3,3
Wet,Fatal collisions,"Snowing, not including drifting snow",100 km per hour,1,1
Wet,Fatal collisions,"Freezing rain, sleet, hail",Less than 40 km per hour,0,0
Wet,Fatal collisions,"Freezing rain, sleet, hail",40 km per hour,0,0
Wet,Fatal collisions,"Freezing rain, sleet, hail",50 km per hour,0,0
Wet,Fatal collisions,"Freezing rain, sleet, hail",60 km per hour,0,1
Wet,Fatal collisions,"Freezing rain, sleet, hail",80 km per hour,1,1
Wet,Fatal collisions,"Freezing rain, sleet, hail",100 km per hour,0,0
Wet,Injury collisions,Clear and sunny,Less than 40 km per hour,70,0
Wet,Injury collisions,Clear and sunny,40 km per hour,199,0
Wet,Injury collisions,Clear and sunny,50 km per hour,1517,0
Wet,Injury collisions,Clear and sunny,60 km per hour,423,0
Wet,Injury collisions,Clear and sunny,80 km per hour,339,0
Wet,Injury collisions,Clear and sunny,100 km per hour,250,0
Wet,Injury collisions,"Overcast, cloudy but no precipitation",Less than 40 km per hour,49,0
Wet,Injury collisions,"Overcast, cloudy but no precipitation",40 km per hour,66,0
Wet,Injury collisions,"Overcast, cloudy but no precipitation",50 km per hour,1055,0
Wet,Injury collisions,"Overcast, cloudy but no precipitation",60 km per hour,182,0
Wet,Injury collisions,"Overcast, cloudy but no precipitation",80 km per hour,170,0
Wet,Injury collisions,"Overcast, cloudy but no precipitation",100 km per hour,175,0
Wet,Injury collisions,Raining,Less than 40 km per hour,165,0
Wet,Injury collisions,Raining,40 km per hour,394,0
Wet,Injury collisions,Raining,50 km per hour,3340,0
Wet,Injury collisions,Raining,60 km per hour,988,0
Wet,Injury collisions,Raining,80 km per hour,708,0
Wet,Injury collisions,Raining,100 km per hour,781,0
Wet,Injury collisions,"Snowing, not including drifting snow",Less than 40 km per hour,9,0
Wet,Injury collisions,"Snowing, not including drifting snow",40 km per hour,25,0
Wet,Injury collisions,"Snowing, not including drifting snow",50 km per hour,216,0
Wet,Injury collisions,"Snowing, not including drifting snow",60 km per hour,83,0
Wet,Injury collisions,"Snowing, not including drifting snow",80 km per hour,61,0
Wet,Injury collisions,"Snowing, not including drifting snow",100 km per hour,47,0
Wet,Injury collisions,"Freezing rain, sleet, hail",Less than 40 km per hour,0,0
Wet,Injury collisions,"Freezing rain, sleet, hail",40 km per hour,3,0
Wet,Injury collisions,"Freezing rain, sleet, hail",50 km per hour,18,0
Wet,Injury collisions,"Freezing rain, sleet, hail",60 km per hour,4,0
Wet,Injury collisions,"Freezing rain, sleet, hail",80 km per hour,5,0
Wet,Injury collisions,"Freezing rain, sleet, hail",100 km per hour,4,0
"Snow (fresh, loose snow)",Fatal collisions,Clear and sunny,Less than 40 km per hour,0,0
"Snow (fresh, loose snow)",Fatal collisions,Clear and sunny,40 km per hour,0,0
"Snow (fresh, loose snow)",Fatal collisions,Clear and sunny,50 km per hour,0,0
"Snow (fresh, loose snow)",Fatal collisions,Clear and sunny,60 km per hour,0,1
"Snow (fresh, loose snow)",Fatal collisions,Clear and sunny,80 km per hour,1,1
"Snow (fresh, loose snow)",Fatal collisions,Clear and sunny,100 km per hour,0,0
"Snow (fresh, loose snow)",Fatal collisions,"Overcast, cloudy but no precipitation",Less than 40 km per hour,0,0
"Snow (fresh, loose snow)",Fatal collisions,"Overcast, cloudy but no precipitation",40 km per hour,0,0
"Snow (fresh, loose snow)",Fatal collisions,"Overcast, cloudy but no precipitation",50 km per hour,0,0
"Snow (fresh, loose snow)",Fatal collisions,"Overcast, cloudy but no precipitation",60 km per hour,0,0
"Snow (fresh, loose snow)",Fatal collisions,"Overcast, cloudy but no precipitation",80 km per hour,1,2
"Snow (fresh, loose snow)",Fatal collisions,"Overcast, cloudy but no precipitation",100 km per hour,2,1
"Snow (fresh, loose snow)",Fatal collisions,Raining,Less than 40 km per hour,0,0
"Snow (fresh, loose snow)",Fatal collisions,Raining,40 km per hour,0,0
"Snow (fresh, loose snow)",Fatal collisions,Raining,50 km per hour,0,0
"Snow (fresh, loose snow)",Fatal collisions,Raining,60 km per hour,0,0
"Snow (fresh, loose snow)",Fatal collisions,Raining,80 km per hour,0,0
"Snow (fresh, loose snow)",Fatal collisions,Raining,100 km per hour,0,0
"Snow (fresh, loose snow)",Fatal collisions,"Snowing, not including drifting snow",Less than 40 km per hour,0,1
"Snow (fresh, loose snow)",Fatal collisions,"Snowing, not including drifting snow",40 km per hour,0,0
"Snow (fresh, loose snow)",Fatal collisions,"Snowing, not including drifting snow",50 km per hour,0,3
"Snow (fresh, loose snow)",Fatal collisions,"Snowing, not including drifting snow",60 km per hour,0,1
"Snow (fresh, loose snow)",Fatal collisions,"Snowing, not including drifting snow",80 km per hour,2,3
"Snow (fresh, loose snow)",Fatal collisions,"Snowing, not including drifting snow",100 km per hour,5,4
"Snow (fresh, loose snow)",Fatal collisions,"Freezing rain, sleet, hail",Less than 40 km per hour,0,0
"Snow (fresh, loose snow)",Fatal collisions,"Freezing rain, sleet, hail",40 km per hour,0,0
"Snow (fresh, loose snow)",Fatal collisions,"Freezing rain, sleet, hail",50 km per hour,0,0
"Snow (fresh, loose snow)",Fatal collisions,"Freezing rain, sleet, hail",60 km per hour,0,0
"Snow (fresh, loose snow)",Fatal collisions,"Freezing rain, sleet, hail",80 km per hour,0,0
"Snow (fresh, loose snow)",Fatal collisions,"Freezing rain, sleet, hail",100 km per hour,0,0
"Snow (fresh, loose snow)",Injury collisions,Clear and sunny,Less than 40 km per hour,37,0
"Snow (fresh, loose snow)",Injury collisions,Clear and sunny,40 km per hour,51,0
"Snow (fresh, loose snow)",Injury collisions,Clear and sunny,50 km per hour,350,0
"Snow (fresh, loose snow)",Injury collisions,Clear and sunny,60 km per hour,98,0
"Snow (fresh, loose snow)",Injury collisions,Clear and sunny,80 km per hour,74,0
"Snow (fresh, loose snow)",Injury collisions,Clear and sunny,100 km per hour,30,0
"Snow (fresh, loose snow)",Injury collisions,"Overcast, cloudy but no precipitation",Less than 40 km per hour,11,0
"Snow (fresh, loose snow)",Injury collisions,"Overcast, cloudy but no precipitation",40 km per hour,12,0
"Snow (fresh, loose snow)",Injury collisions,"Overcast, cloudy but no precipitation",50 km per hour,131,0
"Snow (fresh, loose snow)",Injury collisions,"Overcast, cloudy but no precipitation",60 km per hour,44,0
"Snow (fresh, loose snow)",Injury collisions,"Overcast, cloudy but no precipitation",80 km per hour,39,0
"Snow (fresh, loose snow)",Injury collisions,"Overcast, cloudy but no precipitation",100 km per hour,23,0
"Snow (fresh, loose snow)",Injury collisions,Raining,Less than 40 km per hour,1,0
"Snow (fresh, loose snow)",Injury collisions,Raining,40 km per hour,1,0
"Snow (fresh, loose snow)",Injury collisions,Raining,50 km per hour,7,0
"Snow (fresh, loose snow)",Injury collisions,Raining,60 km per hour,0,0
"Snow (fresh, loose snow)",Injury collisions,Raining,80 km per hour,4,0
"Snow (fresh, loose snow)",Injury collisions,Raining,100 km per hour,3,0
"Snow (fresh, loose snow)",Injury collisions,"Snowing, not including drifting snow",Less than 40 km per hour,41,0
"Snow (fresh, loose snow)",Injury collisions,"Snowing, not including drifting snow",40 km per hour,59,0
"Snow (fresh, loose snow)",Injury collisions,"Snowing, not including drifting snow",50 km per hour,694,0
"Snow (fresh, loose snow)",Injury collisions,"Snowing, not including drifting snow",60 km per hour,203,0
"Snow (fresh, loose snow)",Injury collisions,"Snowing, not including drifting snow",80 km per hour,341,0
"Snow (fresh, loose snow)",Injury collisions,"Snowing, not including drifting snow",100 km per hour,363,0
"Snow (fresh, loose snow)",Injury collisions,"Freezing rain, sleet, hail",Less than 40 km per hour,0,0
"Snow (fresh, loose snow)",Injury collisions,"Freezing rain, sleet, hail",40 km per hour,0,0
"Snow (fresh, loose snow)",Injury collisions,"Freezing rain, sleet, hail",50 km per hour,3,0
"Snow (fresh, loose snow)",Injury collisions,"Freezing rain, sleet, hail",60 km per hour,2,0
"Snow (fresh, loose snow)",Injury collisions,"Freezing rain, sleet, hail",80 km per hour,2,0
"Snow (fresh, loose snow)",Injury collisions,"Freezing rain, sleet, hail",100 km per hour,4,0
"Slush, wet snow",Fatal collisions,Clear and sunny,Less than 40 km per hour,0,0
"Slush, wet snow",Fatal collisions,Clear and sunny,40 km per hour,0,0
"Slush, wet snow",Fatal collisions,Clear and sunny,50 km per hour,0,0
"Slush, wet snow",Fatal collisions,Clear and sunny,60 km per hour,0,0
"Slush, wet snow",Fatal collisions,Clear and sunny,80 km per hour,1,1
"Slush, wet snow",Fatal collisions,Clear and sunny,100 km per hour,0,0
"Slush, wet snow",Fatal collisions,"Overcast, cloudy but no precipitation",Less than 40 km per hour,0,0
"Slush, wet snow",Fatal collisions,"Overcast, cloudy but no precipitation",40 km per hour,0,0
"Slush, wet snow",Fatal collisions,"Overcast, cloudy but no precipitation",50 km per hour,0,0
"Slush, wet snow",Fatal collisions,"Overcast, cloudy but no precipitation",60 km per hour,0,0
"Slush, wet snow",Fatal collisions,"Overcast, cloudy but no precipitation",80 km per hour,0,0
"Slush, wet snow",Fatal collisions,"Overcast, cloudy but no precipitation",100 km per hour,0,0
"Slush, wet snow",Fatal collisions,Raining,Less than 40 km per hour,0,0
"Slush, wet snow",Fatal collisions,Raining,40 km per hour,0,0
"Slush, wet snow",Fatal collisions,Raining,50 km per hour,0,0
"Slush, wet snow",Fatal collisions,Raining,60 km per hour,0,0
"Slush, wet snow",Fatal collisions,Raining,80 km per hour,0,0
"Slush, wet snow",Fatal collisions,Raining,100 km per hour,0,3
"Slush, wet snow",Fatal collisions,"Snowing, not including drifting snow",Less than 40 km per hour,0,0
"Slush, wet snow",Fatal collisions,"Snowing, not including drifting snow",40 km per hour,0,0
"Slush, wet snow",Fatal collisions,"Snowing, not including drifting snow",50 km per hour,0,0
"Slush, wet snow",Fatal collisions,"Snowing, not including drifting snow",60 km per hour,1,2
"Slush, wet snow",Fatal collisions,"Snowing, not including drifting snow",80 km per hour,4,6
"Slush, wet snow",Fatal collisions,"Snowing, not including drifting snow",100 km per hour,1,2
"Slush, wet snow",Fatal collisions,"Freezing rain, sleet, hail",Less than 40 km per hour,0,0
"Slush, wet snow",Fatal collisions,"Freezing rain, sleet, hail",40 km per hour,0,0
